Price,Close,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,,
1987-12-30,1005.1900024414062,1005.1900024414062,1005.1900024414062,1005.1900024414062,1005.1900024414062,0
1988-01-04,956.489990234375,956.489990234375,956.489990234375,956.489990234375,956.489990234375,0
1988-01-05,996.0999755859375,996.0999755859375,996.0999755859375,996.0999755859375,996.0999755859375,0
1988-01-06,1006.010009765625,1006.010009765625,1006.010009765625,1006.010009765625,1006.010009765625,0
1988-01-07,1014.469970703125,1014.469970703125,1014.469970703125,1014.469970703125,1014.469970703125,0
1988-01-08,1026.68994140625,1026.68994140625,1026.68994140625,1026.68994140625,1026.68994140625,0
1988-01-11,987.52001953125,987.52001953125,987.52001953125,987.52001953125,987.52001953125,0
1988-01-12,986.8900146484375,986.8900146484375,986.8900146484375,986.8900146484375,986.8900146484375,0
1988-01-13,965.77001953125,965.77001953125,965.77001953125,965.77001953125,965.77001953125,0
1988-01-14,974.4600219726562,974.4600219726562,974.4600219726562,974.4600219726562,974.4600219726562,0
1988-01-15,952.4600219726562,952.4600219726562,952.4600219726562,952.4600219726562,952.4600219726562,0
1988-01-18,1003.1300048828125,1003.1300048828125,1003.1300048828125,1003.1300048828125,1003.1300048828125,0
1988-01-19,980.1799926757812,980.1799926757812,980.1799926757812,980.1799926757812,980.1799926757812,0
1988-01-20,960.4400024414062,960.4400024414062,960.4400024414062,960.4400024414062,960.4400024414062,0
1988-01-21,949.239990234375,949.239990234375,949.239990234375,949.239990234375,949.239990234375,0
1988-01-22,966.47998046875,966.47998046875,966.47998046875,966.47998046875,966.47998046875,0
1988-01-25,962.6300048828125,962.6300048828125,962.6300048828125,962.6300048828125,962.6300048828125,0
1988-01-26,968.260009765625,968.260009765625,968.260009765625,968.260009765625,968.260009765625,0
1988-01-27,959.6699829101562,959.6699829101562,959.6699829101562,959.6699829101562,959.6699829101562,0
1988-01-28,937.760009765625,937.760009765625,937.760009765625,937.760009765625,937.760009765625,0
1988-01-29,936.0,936.0,936.0,936.0,936.0,0
1988-02-01,951.5,951.5,951.5,951.5,951.5,0
1988-02-02,955.6699829101562,955.6699829101562,955.6699829101562,955.6699829101562,955.6699829101562,0
1988-02-03,972.1900024414062,972.1900024414062,972.1900024414062,972.1900024414062,972.1900024414062,0
